pnum,phase_id,condition,block_data,trial_num,stim,correct_category,response,hit,rt,criterian,met_criterian,num_correct_in_block
11056,training_phase_2,1,1,24,materials/images/blueB2.png,Beta,Gamma,FALSE,0.3655871,30,FALSE,13
11056,training_phase_2,1,2,25,materials/images/blueB6.png,Beta,Beta,TRUE,0.5351446,30,FALSE,1
11056,training_phase_2,1,2,26,materials/images/greenD4.png,Delta,Gamma,FALSE,0.8546322,30,FALSE,1
11056,training_phase_2,1,2,27,materials/images/greenD3.png,Delta,Delta,TRUE,0.093379,30,FALSE,2
11056,training_phase_2,1,2,28,materials/images/greenD1.png,Delta,Beta,FALSE,0.6414699,30,FALSE,2
11056,training_phase_2,1,2,29,materials/images/blueB3.png,Beta,Delta,FALSE,0.9847784,30,FALSE,2
11056,training_phase_2,1,2,30,materials/images/redA5.png,Alpha,Alpha,TRUE,0.1352495,30,FALSE,3
11056,training_phase_2,1,2,31,materials/images/greenD6.png,Delta,Delta,TRUE,0.4642137,30,FALSE,4
11056,training_phase_2,1,2,32,materials/images/blackG4.png,Gamma,Gamma,TRUE,0.9244935,30,FALSE,5
11056,training_phase_2,1,2,33,materials/images/redA3.png,Alpha,Alpha,TRUE,0.0233034,30,FALSE,6
11056,training_phase_2,1,2,34,materials/images/greenD2.png,Delta,Delta,TRUE,1.3379266,30,FALSE,7
11056,training_phase_2,1,2,35,materials/images/greenD5.png,Delta,Delta,TRUE,0.1141551,30,FALSE,8
11056,training_phase_2,1,2,36,materials/images/redA2.png,Alpha,Alpha,TRUE,0.2816887,30,FALSE,9
11056,training_phase_2,1,2,37,materials/images/blackG3.png,Gamma,Beta,FALSE,2.284618,30,FALSE,9
11056,training_phase_2,1,2,38,materials/images/redA1.png,Alpha,Beta,FALSE,0.4976322,30,FALSE,9
11056,training_phase_2,1,2,39,materials/images/redA4.png,Alpha,Beta,FALSE,1.9148653,30,FALSE,9
11056,training_phase_2,1,2,40,materials/images/blackG6.png,Gamma,Gamma,TRUE,0.0725666,30,FALSE,10
11056,training_phase_2,1,2,41,materials/images/blueB5.png,Beta,Gamma,FALSE,0.0238369,30,FALSE,10
11056,training_phase_2,1,2,42,materials/images/redA6.png,Alpha,Gamma,FALSE,1.1642193,30,FALSE,10
11056,training_phase_2,1,2,43,materials/images/blueB2.png,Beta,Beta,TRUE,1.8818594,30,FALSE,11
11056,training_phase_2,1,2,44,materials/images/blueB4.png,Beta,Alpha,FALSE,1.184476,30,FALSE,11
11056,training_phase_2,1,2,45,materials/images/blackG1.png,Gamma,Beta,FALSE,1.2918631,30,FALSE,11
11056,training_phase_2,1,2,46,materials/images/blackG5.png,Gamma,Beta,FALSE,0.2969289,30,FALSE,11
11056,training_phase_2,1,2,47,materials/images/blueB1.png,Beta,Gamma,FALSE,0.028101,30,FALSE,11
11056,training_phase_2,1,2,48,materials/images/blackG2.png,Gamma,Beta,FALSE,3.3345751,30,FALSE,11
11057,training_phase_1,2,1,1,materials/images/redA4.png,Alpha,Beta,FALSE,2.4268245,11,FALSE,0
11057,training_phase_1,2,1,2,materials/images/blueB6.png,Beta,Alpha,FALSE,0.7461972,11,FALSE,0
11057,training_phase_1,2,1,3,materials/images/blueB1.png,Beta,Alpha,FALSE,0.750649,11,FALSE,0
11057,training_phase_1,2,1,4,materials/images/redA2.png,Alpha,Beta,FALSE,0.2477426,11,FALSE,0
11057,training_phase_1,2,1,5,materials/images/redA5.png,Alpha,Beta,FALSE,0.5801761,11,FALSE,0
11057,training_phase_1,2,1,6,materials/images/blueB2.png,Beta,Beta,TRUE,1.0501549,11,FALSE,1
11057,training_phase_1,2,1,7,materials/images/blueB5.png,Beta,Alpha,FALSE,0.619165,11,FALSE,1
11057,training_phase_1,2,1,8,materials/images/blueB4.png,Beta,Beta,TRUE,1.4638388,11,FALSE,2
11057,training_phase_1,2,1,9,materials/images/redA1.png,Alpha,Alpha,TRUE,3.3471885,11,FALSE,3
11057,training_phase_1,2,1,10,materials/images/redA6.png,Alpha,Beta,FALSE,1.2839368,11,FALSE,3
11057,training_phase_1,2,1,11,materials/images/blueB3.png,Beta,Beta,TRUE,0.2330084,11,FALSE,4
11057,training_phase_1,2,1,12,materials/images/redA3.png,Alpha,Alpha,TRUE,1.1710526,11,FALSE,5
11057,training_phase_1,2,2,13,materials/images/redA3.png,Alpha,Alpha,TRUE,0.2392972,11,FALSE,1
11057,training_phase_1,2,2,14,materials/images/redA5.png,Alpha,Alpha,TRUE,1.2085573,11,FALSE,2
11057,training_phase_1,2,2,15,materials/images/blueB6.png,Beta,Beta,TRUE,2.3344717,11,FALSE,3
11057,training_phase_1,2,2,16,materials/images/redA6.png,Alpha,Alpha,TRUE,0.7725533,11,FALSE,4
11057,training_phase_1,2,2,17,materials/images/redA4.png,Alpha,Alpha,TRUE,0.2583315,11,FALSE,5
11057,training_phase_1,2,2,18,materials/images/redA2.png,Alpha,Beta,FALSE,3.4609576,11,FALSE,5
11057,training_phase_1,2,2,19,materials/images/blueB1.png,Beta,Beta,TRUE,0.2298264,11,FALSE,6
11057,training_phase_1,2,2,20,materials/images/blueB3.png,Beta,Beta,TRUE,0.4670843,11,FALSE,7
11057,training_phase_1,2,2,21,materials/images/blueB5.png,Beta,Alpha,FALSE,0.0443491,11,FALSE,7
11057,training_phase_1,2,2,22,materials/images/blueB4.png,Beta,Alpha,FALSE,0.1709707,11,FALSE,7
11057,training_phase_1,2,2,23,materials/images/redA1.png,Alpha,Alpha,TRUE,0.9758692,11,FALSE,8
11057,training_phase_1,2,2,24,materials/images/blueB2.png,Beta,Beta,TRUE,1.9314807,11,FALSE,9
11057,training_phase_1,2,3,25,materials/images/redA2.png,Alpha,Alpha,TRUE,2.1969101,11,FALSE,1
11057,training_phase_1,2,3,26,materials/images/blueB1.png,Beta,Beta,TRUE,0.2925498,11,FALSE,2
11057,training_phase_1,2,3,27,materials/images/redA5.png,Alpha,Alpha,TRUE,1.0466733,11,FALSE,3
11057,training_phase_1,2,3,28,materials/images/redA6.png,Alpha,Alpha,TRUE,0.6751374,11,FALSE,4
11057,training_phase_1,2,3,29,materials/images/blueB3.png,Beta,Beta,TRUE,0.2639642,11,FALSE,5
11057,training_phase_1,2,3,30,materials/images/blueB6.png,Beta,Alpha,FALSE,4.3038081,11,FALSE,5
11057,training_phase_1,2,3,31,materials/images/blueB4.png,Beta,Alpha,FALSE,0.8747239,11,FALSE,5
11057,training_phase_1,2,3,32,materials/images/redA4.png,Alpha,Alpha,TRUE,1.1308597,11,FALSE,6
11057,training_phase_1,2,3,33,materials/images/blueB2.png,Beta,Beta,TRUE,6.71862,11,FALSE,7
11057,training_phase_1,2,3,34,materials/images/blueB5.png,Beta,Beta,TRUE,0.7159287,11,FALSE,8
11057,training_phase_1,2,3,35,materials/images/redA1.png,Alpha,Alpha,TRUE,0.0208424,11,FALSE,9
11057,training_phase_1,2,3,36,materials/images/redA3.png,Alpha,Alpha,TRUE,0.5191879,11,FALSE,10
11057,training_phase_1,2,4,37,materials/images/blueB3.png,Beta,Beta,TRUE,0.0245078,11,FALSE,1
11057,training_phase_1,2,4,38,materials/images/blueB2.png,Beta,Beta,TRUE,7.4738769,11,FALSE,2
11057,training_phase_1,2,4,39,materials/images/redA6.png,Alpha,Beta,FALSE,6.4290466,11,FALSE,2
11057,training_phase_1,2,4,40,materials/images/redA3.png,Alpha,Alpha,TRUE,0.4785447,11,FALSE,3
11057,training_phase_1,2,4,41,materials/images/blueB1.png,Beta,Beta,TRUE,1.3847848,11,FALSE,4
11057,training_phase_1,2,4,42,materials/images/redA5.png,Alpha,Alpha,TRUE,3.6920141,11,FALSE,5
11057,training_phase_1,2,4,43,materials/images/blueB6.png,Beta,Beta,TRUE,1.4481822,11,FALSE,6
11057,training_phase_1,2,4,44,materials/images/redA4.png,Alpha,Alpha,TRUE,0.459296,11,FALSE,7
11057,training_phase_1,2,4,45,materials/images/blueB4.png,Beta,Alpha,FALSE,1.0793615,11,FALSE,7
11057,training_phase_1,2,4,46,materials/images/blueB5.png,Beta,Alpha,FALSE,0.7203762,11,FALSE,7
11057,training_phase_1,2,4,47,materials/images/redA1.png,Alpha,Alpha,TRUE,0.1394661,11,FALSE,8
11057,training_phase_1,2,4,48,materials/images/redA2.png,Alpha,Alpha,TRUE,1.1577507,11,FALSE,9
11057,training_phase_1,2,5,49,materials/images/redA4.png,Alpha,Alpha,TRUE,0.362742,11,FALSE,1
11057,training_phase_1,2,5,50,materials/images/blueB6.png,Beta,Beta,TRUE,2.2460131,11,FALSE,2
11057,training_phase_1,2,5,51,materials/images/blueB2.png,Beta,Beta,TRUE,0.1525109,11,FALSE,3
11057,training_phase_1,2,5,52,materials/images/redA3.png,Alpha,Alpha,TRUE,0.0964333,11,FALSE,4
11057,training_phase_1,2,5,53,materials/images/blueB3.png,Beta,Beta,TRUE,0.399675,11,FALSE,5
11057,training_phase_1,2,5,54,materials/images/redA5.png,Alpha,Alpha,TRUE,0.8247208,11,FALSE,6
11057,training_phase_1,2,5,55,materials/images/blueB5.png,Beta,Beta,TRUE,0.9148114,11,FALSE,7
11057,training_phase_1,2,5,56,materials/images/redA1.png,Alpha,Alpha,TRUE,0.6030343,11,FALSE,8
11057,training_phase_1,2,5,57,materials/images/blueB4.png,Beta,Alpha,FALSE,0.9130806,11,FALSE,8
11057,training_phase_1,2,5,58,materials/images/redA2.png,Alpha,Alpha,TRUE,1.2827408,11,FALSE,9
11057,training_phase_1,2,5,59,materials/images/blueB1.png,Beta,Beta,TRUE,1.0468749,11,FALSE,10
11057,training_phase_1,2,5,60,materials/images/redA6.png,Alpha,Alpha,TRUE,3.0992297,11,TRUE,11
11057,test_phase,2,1,1,materials/images/redA4.png,Alpha,Alpha,gen,0.8121312,1,TRUE,1
11057,test_phase,2,1,2,materials/images/redA3.png,Alpha,Alpha,gen,0.6527786,1,TRUE,2
11057,test_phase,2,1,3,materials/images/redA6.png,Alpha,Alpha,gen,2.729183,1,TRUE,3
11057,test_phase,2,1,4,materials/images/blueB2.png,Beta,Beta,gen,0.3009155,1,TRUE,4
11057,test_phase,2,1,5,materials/images/blueB4.png,Beta,Alpha,gen,1.4478152,1,TRUE,5
11057,test_phase,2,1,6,materials/images/redA1.png,Alpha,Alpha,gen,0.1773431,1,TRUE,6
11057,test_phase,2,1,7,materials/images/yGen2.png,test,Alpha,gen,1.1483727,1,TRUE,7
11057,test_phase,2,1,8,materials/images/redA5.png,Alpha,Alpha,gen,1.4237505,1,TRUE,8
11057,test_phase,2,1,9,materials/images/blueB1.png,Beta,Beta,gen,0.1112161,1,TRUE,9
11057,test_phase,2,1,10,materials/images/yGen5.png,test,Beta,gen,3.9321522,1,TRUE,10
11057,test_phase,2,1,11,materials/images/redA2.png,Alpha,Alpha,gen,0.2812766,1,TRUE,11
11057,test_phase,2,1,12,materials/images/yGen4.png,test,Beta,gen,0.5024743,1,TRUE,12
11057,test_phase,2,1,13,materials/images/yGen1.png,test,Alpha,gen,0.1892658,1,TRUE,13
11057,test_phase,2,1,14,materials/images/blueB5.png,Beta,Beta,gen,0.6604573,1,TRUE,14
11057,test_phase,2,1,15,materials/images/blueB3.png,Beta,Beta,gen,0.1535008,1,TRUE,15
11057,test_phase,2,1,16,materials/images/yGen3.png,test,Beta,gen,1.3604088,1,TRUE,16
11057,test_phase,2,1,17,materials/images/blueB6.png,Beta,Beta,gen,0.532538,1,TRUE,17
11057,training_phase_2,2,1,1,materials/images/blueB4.png,Beta,Beta,TRUE,2.4960666,30,FALSE,1
