block_data,stim,count,mean,std,min,25%,50%,75%,max,num_missing,adj_mean,stnd_error
1,materials/images/blueB2.png,35,0.371428571,0.490240894,0,0.0,0.0,1.0,1,0,0.371428571,0.082865835
2,materials/images/blueB2.png,35,0.742857143,0.443439574,0,0.5,1.0,1.0,1,0,0.742857143,0.074954969
3,materials/images/blueB2.png,33,0.818181818,0.391674726,0,1.0,1.0,1.0,1,2,0.939393939,0.066205112
4,materials/images/blueB2.png,29,0.862068966,0.350931203,0,1.0,1.0,1.0,1,6,0.980295567,0.0593182
5,materials/images/blueB2.png,18,1.0,0.0,1,1.0,1.0,1.0,1,17,1.0,0.0
6,materials/images/blueB2.png,10,1.0,0.0,1,1.0,1.0,1.0,1,25,1.0,0.0
7,materials/images/blueB2.png,5,1.0,0.0,1,1.0,1.0,1.0,1,30,1.0,0.0
8,materials/images/blueB2.png,2,1.0,0.0,1,1.0,1.0,1.0,1,33,1.0,0.0
