block_data,stim,count,mean,std,min,25%,50%,75%,max,num_missing,adj_mean,stnd_error
1,materials/images/blueB1.png,34,0.264705882,0.447811076,0,0.0,0.0,0.75,1,0,0.264705882,0.076798966
2,materials/images/blueB1.png,34,0.794117647,0.41042563,0,1.0,1.0,1.0,1,0,0.794117647,0.070387415
3,materials/images/blueB1.png,33,0.818181818,0.391674726,0,1.0,1.0,1.0,1,1,0.909090909,0.067171661
4,materials/images/blueB1.png,25,0.88,0.331662479,0,1.0,1.0,1.0,1,9,0.988,0.056879646
5,materials/images/blueB1.png,13,0.923076923,0.277350098,0,1.0,1.0,1.0,1,21,0.996503497,0.047565149
6,materials/images/blueB1.png,8,0.875,0.353553391,0,1.0,1.0,1.0,1,26,0.99537037,0.060633906
7,materials/images/blueB1.png,5,1.0,0.0,1,1.0,1.0,1.0,1,29,1.0,0.0
8,materials/images/blueB1.png,1,1.0,,1,1.0,1.0,1.0,1,33,1.0,0.0
