block_data,stim,count,mean,std,min,25%,50%,75%,max,num_missing,adj_mean,stnd_error
1,materials/images/blueB3.png,35,0.485714286,0.507092553,0,0.0,0.0,1.0,1,0,0.485714286,0.085714286
2,materials/images/blueB3.png,35,0.885714286,0.322802851,0,1.0,1.0,1.0,1,0,0.885714286,0.054563641
3,materials/images/blueB3.png,33,0.727272727,0.452267017,0,0.0,1.0,1.0,1,2,0.909090909,0.076447079
4,materials/images/blueB3.png,29,0.931034483,0.257880715,0,1.0,1.0,1.0,1,6,0.990147783,0.043589797
5,materials/images/blueB3.png,18,0.944444444,0.23570226,0,1.0,1.0,1.0,1,17,0.99691358,0.039840954
6,materials/images/blueB3.png,10,1.0,0.0,1,1.0,1.0,1.0,1,25,1.0,0.0
7,materials/images/blueB3.png,5,1.0,0.0,1,1.0,1.0,1.0,1,30,1.0,0.0
8,materials/images/blueB3.png,2,1.0,0.0,1,1.0,1.0,1.0,1,33,1.0,0.0
