block_data,stim,count,mean,std,min,25%,50%,75%,max,num_missing,adj_mean,stnd_error
1,materials/images/blueB4.png,35,0.485714286,0.507092553,0,0.0,0.0,1.0,1,0,0.485714286,0.085714286
2,materials/images/blueB4.png,35,0.571428571,0.502096445,0,0.0,1.0,1.0,1,0,0.571428571,0.084869789
3,materials/images/blueB4.png,33,0.515151515,0.507519219,0,0.0,1.0,1.0,1,2,0.838383838,0.085786405
4,materials/images/blueB4.png,29,0.620689655,0.493803974,0,0.0,1.0,1.0,1,6,0.945812808,0.083468106
5,materials/images/blueB4.png,18,0.666666667,0.48507125,0,0.0,1.0,1.0,1,17,0.981481481,0.081992006
6,materials/images/blueB4.png,10,0.7,0.483045892,0,0.25,1.0,1.0,1,25,0.988461538,0.081649658
7,materials/images/blueB4.png,5,0.8,0.447213595,0,1.0,1.0,1.0,1,30,0.993548387,0.075592895
8,materials/images/blueB4.png,2,1.0,0.0,1,1.0,1.0,1.0,1,33,1.0,0.0
