block_data,stim,count,mean,std,min,25%,50%,75%,max,num_missing,adj_mean,stnd_error
1,materials/images/blueB1.png,35,0.542857143,0.505432671,0,0.0,1.0,1.0,1,0,0.542857143,0.085433714
2,materials/images/blueB1.png,35,0.771428571,0.426042961,0,1.0,1.0,1.0,1,0,0.771428571,0.072014404
3,materials/images/blueB1.png,33,0.787878788,0.41514875,0,1.0,1.0,1.0,1,2,0.929292929,0.070172946
4,materials/images/blueB1.png,29,0.862068966,0.350931203,0,1.0,1.0,1.0,1,6,0.980295567,0.0593182
5,materials/images/blueB1.png,18,0.888888889,0.323380833,0,1.0,1.0,1.0,1,17,0.99382716,0.054661337
6,materials/images/blueB1.png,10,0.9,0.316227766,0,1.0,1.0,1.0,1,25,0.996153846,0.053452248
7,materials/images/blueB1.png,5,1.0,0.0,1,1.0,1.0,1.0,1,30,1.0,0.0
8,materials/images/blueB1.png,2,1.0,0.0,1,1.0,1.0,1.0,1,33,1.0,0.0
