block_data,pnum,count,means,std,min,25%,50%,75%,max
5,11056,1,0,,0,0,0,0,0
5,11060,1,0,,0,0,0,0,0
5,11064,1,0,,0,0,0,0,0
5,11068,1,1,,1,1,1,1,1
5,11078,1,1,,1,1,1,1,1
5,11080,1,1,,1,1,1,1,1
5,11082,1,1,,1,1,1,1,1
5,11090,1,1,,1,1,1,1,1
5,11091,1,1,,1,1,1,1,1
5,11092,1,1,,1,1,1,1,1
5,11094,1,0,,0,0,0,0,0
5,11099,1,0,,0,0,0,0,0
6,11008,1,1,,1,1,1,1,1
6,11024,1,1,,1,1,1,1,1
6,11056,1,0,,0,0,0,0,0
6,11064,1,0,,0,0,0,0,0
6,11080,1,1,,1,1,1,1,1
6,11082,1,1,,1,1,1,1,1
6,11090,1,1,,1,1,1,1,1
6,11091,1,1,,1,1,1,1,1
6,11094,1,1,,1,1,1,1,1
6,11099,1,0,,0,0,0,0,0
7,11008,1,0,,0,0,0,0,0
7,11024,1,1,,1,1,1,1,1
7,11056,1,1,,1,1,1,1,1
7,11082,1,1,,1,1,1,1,1
7,11090,1,1,,1,1,1,1,1
8,11008,1,1,,1,1,1,1,1
8,11056,1,1,,1,1,1,1,1
