block_data,pnum,count,means,std,min,25%,50%,75%,max
5,11098,1,1,,1,1,1,1,1
6,11021,1,1,,1,1,1,1,1
6,11025,1,1,,1,1,1,1,1
6,11029,1,1,,1,1,1,1,1
6,11039,1,1,,1,1,1,1,1
6,11071,1,1,,1,1,1,1,1
6,11081,1,1,,1,1,1,1,1
6,11087,1,0,,0,0,0,0,0
6,11098,1,1,,1,1,1,1,1
7,11021,1,0,,0,0,0,0,0
7,11029,1,1,,1,1,1,1,1
7,11071,1,1,,1,1,1,1,1
7,11087,1,1,,1,1,1,1,1
7,11098,1,1,,1,1,1,1,1
8,11021,1,1,,1,1,1,1,1
