block_data,pnum,count,means,std,min,25%,50%,75%,max
1,11008,12,0.666666667,0.492365964,0,0,1,1,1
1,11012,12,0.666666667,0.492365964,0,0,1,1,1
1,11016,12,0.333333333,0.492365964,0,0,0,1,1
1,11022,12,0.583333333,0.514928651,0,0,1,1,1
1,11024,12,0.333333333,0.492365964,0,0,0,1,1
1,11026,12,0.75,0.452267017,0,0.75,1,1,1
1,11030,12,0.75,0.452267017,0,0.75,1,1,1
1,11032,12,0.583333333,0.514928651,0,0,1,1,1
1,11034,12,0.583333333,0.514928651,0,0,1,1,1
1,11036,12,0.5,0.522232968,0,0,0.5,1,1
1,11040,12,0.583333333,0.514928651,0,0,1,1,1
1,11042,12,0.666666667,0.492365964,0,0,1,1,1
1,11046,12,0.666666667,0.492365964,0,0,1,1,1
1,11048,12,0.666666667,0.492365964,0,0,1,1,1
1,11052,12,0.416666667,0.514928651,0,0,0,1,1
1,11054,12,0.666666667,0.492365964,0,0,1,1,1
1,11056,12,0.666666667,0.492365964,0,0,1,1,1
1,11060,12,0.666666667,0.492365964,0,0,1,1,1
1,11064,12,0.666666667,0.492365964,0,0,1,1,1
1,11068,12,0.583333333,0.514928651,0,0,1,1,1
1,11070,12,0.666666667,0.492365964,0,0,1,1,1
1,11072,12,0.75,0.452267017,0,0.75,1,1,1
1,11076,12,0.666666667,0.492365964,0,0,1,1,1
1,11078,12,0.5,0.522232968,0,0,0.5,1,1
1,11080,12,0.583333333,0.514928651,0,0,1,1,1
1,11082,12,0.666666667,0.492365964,0,0,1,1,1
1,11084,12,0.333333333,0.492365964,0,0,0,1,1
1,11086,12,0.5,0.522232968,0,0,0.5,1,1
1,11090,12,0.583333333,0.514928651,0,0,1,1,1
1,11091,12,0.666666667,0.492365964,0,0,1,1,1
1,11092,12,0.75,0.452267017,0,0.75,1,1,1
1,11094,12,0.416666667,0.514928651,0,0,0,1,1
1,11099,12,0.25,0.452267017,0,0,0,0.25,1
1,11100,12,0.666666667,0.492365964,0,0,1,1,1
1,11104,12,0.75,0.452267017,0,0.75,1,1,1
2,11008,12,0.583333333,0.514928651,0,0,1,1,1
2,11012,12,0.833333333,0.389249472,0,1,1,1,1
2,11016,12,0.833333333,0.389249472,0,1,1,1,1
2,11022,12,0.5,0.522232968,0,0,0.5,1,1
2,11024,12,0.666666667,0.492365964,0,0,1,1,1
2,11026,12,0.75,0.452267017,0,0.75,1,1,1
2,11030,12,1,0,1,1,1,1,1
2,11032,12,0.833333333,0.389249472,0,1,1,1,1
2,11034,12,0.75,0.452267017,0,0.75,1,1,1
2,11036,12,0.666666667,0.492365964,0,0,1,1,1
2,11040,12,0.666666667,0.492365964,0,0,1,1,1
2,11042,12,0.666666667,0.492365964,0,0,1,1,1
2,11046,12,0.916666667,0.288675135,0,1,1,1,1
2,11048,12,0.833333333,0.389249472,0,1,1,1,1
2,11052,12,0.666666667,0.492365964,0,0,1,1,1
2,11054,12,0.75,0.452267017,0,0.75,1,1,1
2,11056,12,0.583333333,0.514928651,0,0,1,1,1
2,11060,12,0.583333333,0.514928651,0,0,1,1,1
2,11064,12,0.666666667,0.492365964,0,0,1,1,1
2,11068,12,0.666666667,0.492365964,0,0,1,1,1
2,11070,12,0.75,0.452267017,0,0.75,1,1,1
2,11072,12,0.833333333,0.389249472,0,1,1,1,1
2,11076,12,0.833333333,0.389249472,0,1,1,1,1
2,11078,12,0.833333333,0.389249472,0,1,1,1,1
2,11080,12,0.583333333,0.514928651,0,0,1,1,1
2,11082,12,0.833333333,0.389249472,0,1,1,1,1
