block_data,correct_category,count,mean,std,min,25%,50%,75%,max
1,Alpha,210.0,0.6476190476190476,0.478853342932224,0.0,0.0,1.0,1.0,1.0
2,Alpha,210.0,0.6619047619047619,0.4741915209509856,0.0,0.0,1.0,1.0,1.0
