block_data,correct_category,count,mean,std,min,25%,50%,75%,max
1,Delta,210.0,0.4476190476190476,0.4984368365382191,0.0,0.0,0.0,1.0,1.0
2,Delta,210.0,0.6238095238095238,0.4855862750643521,0.0,0.0,1.0,1.0,1.0
