block_data,correct_category,count,mean,std,min,25%,50%,75%,max
1,Alpha,204.0,0.5833333333333334,0.494219458907901,0.0,0.0,1.0,1.0,1.0
2,Alpha,204.0,0.5588235294117647,0.4977492080590812,0.0,0.0,1.0,1.0,1.0
