block_data,correct_category,count,mean,std,min,25%,50%,75%,max
1,Beta,210.0,0.4142857142857143,0.4937753341917615,0.0,0.0,0.0,1.0,1.0
2,Beta,210.0,0.3571428571428571,0.4803023654629546,0.0,0.0,0.0,1.0,1.0
