block_data,correct_category,count,mean,std,min,25%,50%,75%,max
1,Alpha,204.0,0.5833333333333334,0.494219458907901,0.0,0.0,1.0,1.0,1.0
1,Beta,204.0,0.4068627450980392,0.4924573555934987,0.0,0.0,0.0,1.0,1.0
1,Delta,204.0,0.44607843137254904,0.4983068017748346,0.0,0.0,0.0,1.0,1.0
1,Gamma,204.0,0.3431372549019608,0.47592477857471643,0.0,0.0,0.0,1.0,1.0
2,Alpha,204.0,0.5588235294117647,0.4977492080590812,0.0,0.0,1.0,1.0,1.0
2,Beta,204.0,0.3480392156862745,0.4775203587658174,0.0,0.0,0.0,1.0,1.0
2,Delta,204.0,0.5588235294117647,0.4977492080590812,0.0,0.0,1.0,1.0,1.0
2,Gamma,204.0,0.4215686274509804,0.49502499334432115,0.0,0.0,0.0,1.0,1.0
