block_data,correct_category,count,mean,std,min,25%,50%,75%,max
1,Beta,204.0,0.4068627450980392,0.4924573555934987,0.0,0.0,0.0,1.0,1.0
2,Beta,204.0,0.3480392156862745,0.4775203587658174,0.0,0.0,0.0,1.0,1.0
