block_data,correct_category,count,mean,std,min,25%,50%,75%,max
1,Gamma,204.0,0.3431372549019608,0.4759247785747164,0.0,0.0,0.0,1.0,1.0
2,Gamma,204.0,0.4215686274509804,0.4950249933443211,0.0,0.0,0.0,1.0,1.0
