block_data,count,mean,std,min,25%,50%,75%,max,num_missing,adj_mean
1,408,0.566176471,0.4962098,0,0,1,1,1,0,0.566176471
2,408,0.705882353,0.456204517,0,0,1,1,1,0,0.705882353
3,396,0.765151515,0.424440334,0,1,1,1,1,12,0.981934732
4,300,0.81,0.392956379,0,1,1,1,1,108,0.998256881
5,156,0.794871795,0.405095747,0,1,1,1,1,252,0.999189217
6,96,0.791666667,0.40824829,0,1,1,1,1,312,0.999334398
7,60,0.916666667,0.278717807,0,1,1,1,1,348,0.999761223
8,12,0.916666667,0.288675135,0,1,1,1,1,396,0.999790092
