block_data,correct_category,count,mean,std,min,25%,50%,75%,max,num_missing,adj_mean
1,Alpha,210,0.69047619,0.463401984,0,0,1,1,1,0,0.69047619
2,Alpha,210,0.733333333,0.443273311,0,0,1,1,1,0,0.733333333
3,Alpha,198,0.808080808,0.394808125,0,1,1,1,1,12,0.985236985
4,Alpha,174,0.781609195,0.414346407,0,1,1,1,1,36,0.994097546
5,Alpha,108,0.824074074,0.382532234,0,1,1,1,1,102,0.998291981
6,Alpha,60,0.766666667,0.426521868,0,1,1,1,1,150,0.998454746
7,Alpha,30,0.833333333,0.379049022,0,1,1,1,1,180,0.99907919
8,Alpha,12,0.916666667,0.288675135,0,1,1,1,1,198,0.99958124
