block_data,correct_category,count,mean,std,min,25%,50%,75%,max,num_missing,adj_mean
1,Alpha,204,0.588235294,0.493363667,0,0,1,1,1,0,0.588235294
2,Alpha,204,0.715686275,0.452196631,0,0,1,1,1,0,0.715686275
3,Alpha,198,0.747474747,0.435562169,0,0.25,1,1,1,6,0.963924964
4,Alpha,150,0.806666667,0.396235078,0,1,1,1,1,54,0.996484848
5,Alpha,78,0.794871795,0.406408865,0,1,1,1,1,126,0.998384817
6,Alpha,48,0.8125,0.39444278,0,1,1,1,1,156,0.998805732
7,Alpha,30,0.9,0.305128577,0,1,1,1,1,174,0.999428571
8,Alpha,6,0.833333333,0.40824829,0,1,1,1,1,198,0.999162479
