block_data,correct_category,count,mean,std,min,25%,50%,75%,max,num_missing,adj_mean
1,Beta,204,0.544117647,0.499275047,0,0,1,1,1,0,0.544117647
2,Beta,204,0.696078431,0.461080669,0,0,1,1,1,0,0.696078431
3,Beta,198,0.782828283,0.413365635,0,1,1,1,1,6,0.968975469
4,Beta,150,0.813333333,0.390949055,0,1,1,1,1,54,0.996606061
5,Beta,78,0.794871795,0.406408865,0,1,1,1,1,126,0.998384817
6,Beta,48,0.770833333,0.424744395,0,1,1,1,1,156,0.99854034
7,Beta,30,0.933333333,0.253708132,0,1,1,1,1,174,0.999619048
8,Beta,6,1,0,1,1,1,1,1,198,1
