stim,count,mean,std,min,25%,50%,75%,max,stnd_err
materials/images/blueB1.png,34,0,0,0,0,0,0,0,0
materials/images/blueB2.png,34,0.117647059,0.32703497,0,0,0,0,1,0.056086035
materials/images/blueB3.png,34,0.029411765,0.171498585,0,0,0,0,1,0.029411765
materials/images/blueB4.png,34,0.470588235,0.506640397,0,0,0,1,1,0.086888111
materials/images/blueB5.png,34,0.088235294,0.287902241,0,0,0,0,1,0.049374827
materials/images/blueB6.png,34,0.088235294,0.287902241,0,0,0,0,1,0.049374827
materials/images/redA1.png,34,0.941176471,0.238832574,0,1,1,1,1,0.040959448
materials/images/redA2.png,34,0.941176471,0.238832574,0,1,1,1,1,0.040959448
materials/images/redA3.png,34,0.882352941,0.32703497,0,1,1,1,1,0.056086035
materials/images/redA4.png,34,0.970588235,0.171498585,0,1,1,1,1,0.029411765
materials/images/redA5.png,34,0.852941176,0.359490628,0,1,1,1,1,0.061652134
materials/images/redA6.png,34,0.617647059,0.493270218,0,0,1,1,1,0.084595144
materials/images/yGen1.png,34,0.911764706,0.287902241,0,1,1,1,1,0.049374827
materials/images/yGen2.png,34,0.676470588,0.47485808,0,0,1,1,1,0.081437489
materials/images/yGen3.png,34,0.147058824,0.359490628,0,0,0,0,1,0.061652134
materials/images/yGen4.png,34,0.029411765,0.171498585,0,0,0,0,1,0.029411765
materials/images/yGen5.png,34,0.147058824,0.359490628,0,0,0,0,1,0.061652134
