pnum,phase_id,condition,block_data,trial_num,stim,correct_category,response,hit,rt,criterian,met_criterian,num_correct_in_block
11053,training_phase_1,2,1,1,materials/images/redA5.png,Alpha,Beta,False,2.338104399997974,11,False,0
11053,training_phase_1,2,1,2,materials/images/redA6.png,Alpha,Alpha,True,0.6810519999999087,11,False,1
11053,training_phase_1,2,1,3,materials/images/blueB6.png,Beta,Beta,True,0.2779086999944411,11,False,2
11053,training_phase_1,2,1,4,materials/images/blueB1.png,Beta,Alpha,False,0.23102269999799319,11,False,2
11053,training_phase_1,2,1,5,materials/images/blueB4.png,Beta,Beta,True,0.5412519999954384,11,False,3
11053,training_phase_1,2,1,6,materials/images/redA3.png,Alpha,Alpha,True,0.8260393000091426,11,False,4
11053,training_phase_1,2,1,7,materials/images/redA4.png,Alpha,Alpha,True,0.5547996000095736,11,False,5
11053,training_phase_1,2,1,8,materials/images/redA2.png,Alpha,Beta,False,0.17274020001059398,11,False,5
11053,training_phase_1,2,1,9,materials/images/blueB3.png,Beta,Beta,True,0.3013461999944411,11,False,6
11053,training_phase_1,2,1,10,materials/images/blueB5.png,Beta,Beta,True,1.2302641000133008,11,False,7
11053,training_phase_1,2,1,11,materials/images/blueB2.png,Beta,Alpha,False,1.1025063999986742,11,False,7
11053,training_phase_1,2,1,12,materials/images/redA1.png,Alpha,Alpha,True,0.7923196000047028,11,False,8
11053,training_phase_1,2,2,13,materials/images/blueB2.png,Beta,Beta,True,0.40625469997758046,11,False,1
11053,training_phase_1,2,2,14,materials/images/blueB4.png,Beta,Beta,True,0.7589240000233985,11,False,2
11053,training_phase_1,2,2,15,materials/images/redA6.png,Alpha,Beta,False,0.4915045999805443,11,False,2
11053,training_phase_1,2,2,16,materials/images/redA2.png,Alpha,Beta,False,0.582017899985658,11,False,2
11053,training_phase_1,2,2,17,materials/images/redA4.png,Alpha,Beta,False,1.0672906000108924,11,False,2
11053,training_phase_1,2,2,18,materials/images/redA5.png,Alpha,Alpha,True,0.5271750999963842,11,False,3
11053,training_phase_1,2,2,19,materials/images/redA1.png,Alpha,Beta,False,0.5831799000152387,11,False,3
11053,training_phase_1,2,2,20,materials/images/blueB5.png,Beta,Beta,True,0.5982274000125472,11,False,4
11053,training_phase_1,2,2,21,materials/images/blueB6.png,Beta,Beta,True,1.8412625000055414,11,False,5
11053,training_phase_1,2,2,22,materials/images/redA3.png,Alpha,Alpha,True,0.2595412000082433,11,False,6
11053,training_phase_1,2,2,23,materials/images/blueB1.png,Beta,Beta,True,0.5772859000135213,11,False,7
11053,training_phase_1,2,2,24,materials/images/blueB3.png,Beta,Alpha,False,0.09219240001402795,11,False,7
11053,training_phase_1,2,3,25,materials/images/blueB1.png,Beta,Beta,True,0.41340700001455843,11,False,1
11053,training_phase_1,2,3,26,materials/images/redA6.png,Alpha,Alpha,True,0.2743303000170272,11,False,2
11053,training_phase_1,2,3,27,materials/images/blueB5.png,Beta,Beta,True,0.7300531000073534,11,False,3
11053,training_phase_1,2,3,28,materials/images/redA1.png,Alpha,Alpha,True,0.21875600001658313,11,False,4
11053,training_phase_1,2,3,29,materials/images/blueB6.png,Beta,Beta,True,1.5671106000081636,11,False,5
11053,training_phase_1,2,3,30,materials/images/blueB3.png,Beta,Alpha,False,0.17513389998930506,11,False,5
11053,training_phase_1,2,3,31,materials/images/redA2.png,Alpha,Alpha,True,0.018931300000986084,11,False,6
11053,training_phase_1,2,3,32,materials/images/redA5.png,Alpha,Alpha,True,0.5581900000106543,11,False,7
11053,training_phase_1,2,3,33,materials/images/blueB4.png,Beta,Beta,True,1.4910261000040919,11,False,8
11053,training_phase_1,2,3,34,materials/images/blueB2.png,Beta,Beta,True,0.37364579999120906,11,False,9
11053,training_phase_1,2,3,35,materials/images/redA4.png,Alpha,Alpha,True,0.050280600000405684,11,False,10
11053,training_phase_1,2,3,36,materials/images/redA3.png,Alpha,Alpha,True,0.3477846000168938,11,True,11
pnum,phase_id,condition,block_data,trial_num,stim,correct_category,response,hit,rt,criterian,met_criterian,num_correct_in_block
11053,test_phase,2,1,1,materials/images/yGen1.png,test,Alpha,gen,2.4110020000080112,1,True,1
11053,test_phase,2,1,2,materials/images/yGen4.png,test,Beta,gen,0.01863390000653453,1,True,2
11053,test_phase,2,1,3,materials/images/redA2.png,Alpha,Alpha,gen,0.07201450000866316,1,True,3
11053,test_phase,2,1,4,materials/images/yGen3.png,test,Beta,gen,1.5737957999808714,1,True,4
11053,test_phase,2,1,5,materials/images/redA5.png,Alpha,Alpha,gen,0.34081259998492897,1,True,5
11053,test_phase,2,1,6,materials/images/redA6.png,Alpha,Alpha,gen,0.23224760001176037,1,True,6
11053,test_phase,2,1,7,materials/images/redA3.png,Alpha,Alpha,gen,0.07909049998852424,1,True,7
11053,test_phase,2,1,8,materials/images/redA4.png,Alpha,Alpha,gen,0.33194669999647886,1,True,8
11053,test_phase,2,1,9,materials/images/blueB1.png,Beta,Beta,gen,0.018473700009053573,1,True,9
