pnum,phase_id,condition,block_data,trial_num,stim,correct_category,response,hit,rt,criterian,met_criterian,num_correct_in_block
11023,training_phase_1,2,1,1,materials/images/blueB2.png,Beta,Alpha,False,2.5037336999957915,11,False,0
11023,training_phase_1,2,1,2,materials/images/blueB3.png,Beta,Beta,True,0.7611978000059025,11,False,1
11023,training_phase_1,2,1,3,materials/images/redA3.png,Alpha,Alpha,True,2.9662544000020716,11,False,2
11023,training_phase_1,2,1,4,materials/images/redA4.png,Alpha,Alpha,True,1.4926742000097875,11,False,3
11023,training_phase_1,2,1,5,materials/images/blueB1.png,Beta,Beta,True,0.8061365000030492,11,False,4
11023,training_phase_1,2,1,6,materials/images/redA1.png,Alpha,Alpha,True,0.016843999997945502,11,False,5
11023,training_phase_1,2,1,7,materials/images/blueB6.png,Beta,Beta,True,0.7002101000107359,11,False,6
11023,training_phase_1,2,1,8,materials/images/blueB5.png,Beta,Alpha,False,0.9273184999910882,11,False,6
11023,training_phase_1,2,1,9,materials/images/redA2.png,Alpha,Alpha,True,0.8540085999993607,11,False,7
11023,training_phase_1,2,1,10,materials/images/redA6.png,Alpha,Alpha,True,0.2300530000065919,11,False,8
11023,training_phase_1,2,1,11,materials/images/redA5.png,Alpha,Alpha,True,1.3516075999941677,11,False,9
11023,training_phase_1,2,1,12,materials/images/blueB4.png,Beta,Alpha,False,0.06877880000683945,11,False,9
11023,training_phase_1,2,2,13,materials/images/redA3.png,Alpha,Alpha,True,0.560746700008167,11,False,1
11023,training_phase_1,2,2,14,materials/images/redA1.png,Alpha,Beta,False,1.738434300001245,11,False,1
11023,training_phase_1,2,2,15,materials/images/blueB6.png,Beta,Alpha,False,0.5324566000053892,11,False,1
11023,training_phase_1,2,2,16,materials/images/blueB4.png,Beta,Alpha,False,1.521943600004306,11,False,1
11023,training_phase_1,2,2,17,materials/images/redA2.png,Alpha,Alpha,True,0.021083800005726516,11,False,2
11023,training_phase_1,2,2,18,materials/images/blueB1.png,Beta,Beta,True,1.1975779999920633,11,False,3
