pnum,phase_id,condition,block_data,trial_num,stim,correct_category,response,hit,rt,criterian,met_criterian,num_correct_in_block
11084,training_phase_1,1,1,1,materials/images/blueB2.png,Beta,Alpha,False,0.9628713997080922,11,False,0
11084,training_phase_1,1,1,2,materials/images/redA1.png,Alpha,Beta,False,2.008448100183159,11,False,0
11084,training_phase_1,1,1,3,materials/images/redA4.png,Alpha,Alpha,True,0.4935921998694539,11,False,1
11084,training_phase_1,1,1,4,materials/images/blueB5.png,Beta,Alpha,False,0.5866260998882353,11,False,1
11084,training_phase_1,1,1,5,materials/images/blueB6.png,Beta,Alpha,False,0.2568613002076745,11,False,1
11084,training_phase_1,1,1,6,materials/images/blueB1.png,Beta,Alpha,False,1.8098189001902938,11,False,1
11084,training_phase_1,1,1,7,materials/images/redA6.png,Alpha,Beta,False,0.022983400151133537,11,False,1
11084,training_phase_1,1,1,8,materials/images/redA3.png,Alpha,Alpha,True,0.943548500072211,11,False,2
11084,training_phase_1,1,1,9,materials/images/redA2.png,Alpha,Alpha,True,1.0304959998466074,11,False,3
11084,training_phase_1,1,1,10,materials/images/blueB4.png,Beta,Alpha,False,0.016360099893063307,11,False,3
11084,training_phase_1,1,1,11,materials/images/redA5.png,Alpha,Beta,False,0.25595320016145706,11,False,3
11084,training_phase_1,1,1,12,materials/images/blueB3.png,Beta,Beta,True,0.39848130010068417,11,False,4
11084,training_phase_1,1,2,13,materials/images/redA2.png,Alpha,Alpha,True,0.11325620021671057,11,False,1
11084,training_phase_1,1,2,14,materials/images/redA6.png,Alpha,Beta,False,0.5555821000598371,11,False,1
11084,training_phase_1,1,2,15,materials/images/redA1.png,Alpha,Alpha,True,0.2842778000049293,11,False,2
11084,training_phase_1,1,2,16,materials/images/redA5.png,Alpha,Alpha,True,0.017028099857270718,11,False,3
11084,training_phase_1,1,2,17,materials/images/blueB6.png,Beta,Beta,True,0.3316395999863744,11,False,4
11084,training_phase_1,1,2,18,materials/images/redA3.png,Alpha,Alpha,True,0.24151339987292886,11,False,5
11084,training_phase_1,1,2,19,materials/images/blueB2.png,Beta,Beta,True,0.957403099630028,11,False,6
11084,training_phase_1,1,2,20,materials/images/blueB5.png,Beta,Alpha,False,0.18914839997887611,11,False,6
11084,training_phase_1,1,2,21,materials/images/redA4.png,Alpha,Alpha,True,1.5564373000524938,11,False,7
11084,training_phase_1,1,2,22,materials/images/blueB1.png,Beta,Beta,True,0.08639190020039678,11,False,8
11084,training_phase_1,1,2,23,materials/images/blueB3.png,Beta,Beta,True,0.017360500060021877,11,False,9
11084,training_phase_1,1,2,24,materials/images/blueB4.png,Beta,Alpha,False,0.8366007995791733,11,False,9
11084,training_phase_1,1,3,25,materials/images/blueB1.png,Beta,Beta,True,0.12979529984295368,11,False,1
11084,training_phase_1,1,3,26,materials/images/redA2.png,Alpha,Alpha,True,0.9230924001894891,11,False,2
11084,training_phase_1,1,3,27,materials/images/blueB4.png,Beta,Alpha,False,0.8925581001676619,11,False,2
11084,training_phase_1,1,3,28,materials/images/redA1.png,Alpha,Beta,False,0.19514840003103018,11,False,2
11084,training_phase_1,1,3,29,materials/images/blueB5.png,Beta,Beta,True,0.32705460023134947,11,False,3
11084,training_phase_1,1,3,30,materials/images/blueB6.png,Beta,Beta,True,0.20415270002558827,11,False,4
11084,training_phase_1,1,3,31,materials/images/redA3.png,Alpha,Alpha,True,0.07800440024584532,11,False,5
11084,training_phase_1,1,3,32,materials/images/redA5.png,Alpha,Alpha,True,0.4813191001303494,11,False,6
11084,training_phase_1,1,3,33,materials/images/blueB2.png,Beta,Beta,True,0.30206670006737113,11,False,7
11084,training_phase_1,1,3,34,materials/images/blueB3.png,Beta,Beta,True,0.7198235997930169,11,False,8
11084,training_phase_1,1,3,35,materials/images/redA6.png,Alpha,Alpha,True,0.017157600261271,11,False,9
11084,training_phase_1,1,3,36,materials/images/redA4.png,Alpha,Alpha,True,0.7530432003550231,11,False,10
11084,training_phase_1,1,4,37,materials/images/blueB4.png,Beta,Beta,True,2.006429800298065,11,False,1
11084,training_phase_1,1,4,38,materials/images/blueB3.png,Beta,Beta,True,0.4768209997564554,11,False,2
11084,training_phase_1,1,4,39,materials/images/blueB1.png,Beta,Beta,True,0.6262233001179993,11,False,3
11084,training_phase_1,1,4,40,materials/images/blueB2.png,Beta,Beta,True,0.5709881000220776,11,False,4
11084,training_phase_1,1,4,41,materials/images/redA4.png,Alpha,Alpha,True,0.4499282999895513,11,False,5
11084,training_phase_1,1,4,42,materials/images/blueB5.png,Beta,Beta,True,2.0215288000181317,11,False,6
11084,training_phase_1,1,4,43,materials/images/redA1.png,Alpha,Alpha,True,0.22662009997293353,11,False,7
11084,training_phase_1,1,4,44,materials/images/redA3.png,Alpha,Alpha,True,0.24707419984042645,11,False,8
11084,training_phase_1,1,4,45,materials/images/redA5.png,Alpha,Alpha,True,0.07779730018228292,11,False,9
11084,training_phase_1,1,4,46,materials/images/blueB6.png,Beta,Beta,True,0.3070671996101737,11,False,10
11084,training_phase_1,1,4,47,materials/images/redA2.png,Alpha,Alpha,True,0.01707400009036064,11,True,11
11084,training_phase_1,1,4,48,materials/images/redA6.png,Alpha,Alpha,True,0.3322260002605617,11,True,12
pnum,phase_id,condition,block_data,trial_num,stim,correct_category,response,hit,rt,criterian,met_criterian,num_correct_in_block
11084,test_phase,1,1,1,materials/images/redA3.png,Alpha,Alpha,gen,3.3506527999415994,1,True,1
11084,test_phase,1,1,2,materials/images/blueB2.png,Beta,Beta,gen,0.11985900020226836,1,True,2
11084,test_phase,1,1,3,materials/images/blueB1.png,Beta,Beta,gen,0.1405617999844253,1,True,3
11084,test_phase,1,1,4,materials/images/redA5.png,Alpha,Alpha,gen,0.17277730023488402,1,True,4
11084,test_phase,1,1,5,materials/images/yGen1.png,test,Alpha,gen,0.5594806000590324,1,True,5
11084,test_phase,1,1,6,materials/images/blueB6.png,Beta,Beta,gen,0.07970700040459633,1,True,6
11084,test_phase,1,1,7,materials/images/yGen2.png,test,Alpha,gen,0.166856300085783,1,True,7
11084,test_phase,1,1,8,materials/images/redA6.png,Alpha,Alpha,gen,0.021357199642807245,1,True,8
11084,test_phase,1,1,9,materials/images/yGen4.png,test,Beta,gen,0.1127304001711309,1,True,9
11084,test_phase,1,1,10,materials/images/blueB5.png,Beta,Beta,gen,0.5118621001020074,1,True,10
11084,test_phase,1,1,11,materials/images/blueB3.png,Beta,Beta,gen,0.4852021997794509,1,True,11
11084,test_phase,1,1,12,materials/images/blueB4.png,Beta,Alpha,gen,0.02153680007904768,1,True,12
11084,test_phase,1,1,13,materials/images/redA4.png,Alpha,Alpha,gen,0.2623701002448797,1,True,13
11084,test_phase,1,1,14,materials/images/yGen5.png,test,Beta,gen,0.02182150026783347,1,True,14
11084,test_phase,1,1,15,materials/images/yGen3.png,test,Beta,gen,2.9908332997001708,1,True,15
11084,test_phase,1,1,16,materials/images/redA1.png,Alpha,Alpha,gen,0.4797077998518944,1,True,16
11084,test_phase,1,1,17,materials/images/redA2.png,Alpha,Alpha,gen,0.4356112997047603,1,True,17
pnum,phase_id,condition,block_data,trial_num,stim,correct_category,response,hit,rt,criterian,met_criterian,num_correct_in_block
11084,training_phase_2,1,1,1,materials/images/blueB5.png,Beta,Beta,True,1.7887506000697613,30,False,1
11084,training_phase_2,1,1,2,materials/images/blackG1.png,Gamma,Alpha,False,0.25394489988684654,30,False,1
11084,training_phase_2,1,1,3,materials/images/blackG4.png,Gamma,Beta,False,0.04137679981067777,30,False,1
11084,training_phase_2,1,1,4,materials/images/blueB6.png,Beta,Beta,True,0.4996997001580894,30,False,2
11084,training_phase_2,1,1,5,materials/images/greenD6.png,Delta,Delta,True,2.705739200115204,30,False,3
11084,training_phase_2,1,1,6,materials/images/redA4.png,Alpha,Alpha,True,0.4359697001054883,30,False,4
11084,training_phase_2,1,1,7,materials/images/blackG3.png,Gamma,Gamma,True,0.6784959002397954,30,False,5
11084,training_phase_2,1,1,8,materials/images/redA1.png,Alpha,Alpha,True,1.7966947997920215,30,False,6
