pnum,phase_id,condition,block_data,trial_num,stim,correct_category,response,hit,rt,criterian,met_criterian,num_correct_in_block
11065,training_phase_1,2,1,1,materials/images/blueB1.png,Beta,Alpha,False,5.220364399952814,11,False,0
11065,training_phase_1,2,1,2,materials/images/blueB5.png,Beta,Alpha,False,0.7049618000164628,11,False,0
11065,training_phase_1,2,1,3,materials/images/blueB2.png,Beta,Beta,True,1.263485400006175,11,False,1
11065,training_phase_1,2,1,4,materials/images/blueB4.png,Beta,Beta,True,0.12869849998969585,11,False,2
11065,training_phase_1,2,1,5,materials/images/redA3.png,Alpha,Beta,False,0.9884825999615714,11,False,2
11065,training_phase_1,2,1,6,materials/images/blueB6.png,Beta,Beta,True,1.0031817000126466,11,False,3
11065,training_phase_1,2,1,7,materials/images/redA1.png,Alpha,Beta,False,2.166997199994512,11,False,3
11065,training_phase_1,2,1,8,materials/images/redA4.png,Alpha,Beta,False,0.936844400013797,11,False,3
11065,training_phase_1,2,1,9,materials/images/redA2.png,Alpha,Alpha,True,2.2596790000097826,11,False,4
11065,training_phase_1,2,1,10,materials/images/redA5.png,Alpha,Beta,False,0.44517459999769926,11,False,4
11065,training_phase_1,2,1,11,materials/images/blueB3.png,Beta,Beta,True,0.23830319999251515,11,False,5
11065,training_phase_1,2,1,12,materials/images/redA6.png,Alpha,Alpha,True,0.2920280999969691,11,False,6
11065,training_phase_1,2,2,13,materials/images/redA5.png,Alpha,Alpha,True,0.23795129999052733,11,False,1
11065,training_phase_1,2,2,14,materials/images/blueB1.png,Beta,Beta,True,1.9271692999172956,11,False,2
11065,training_phase_1,2,2,15,materials/images/redA3.png,Alpha,Alpha,True,0.33827199996449053,11,False,3
11065,training_phase_1,2,2,16,materials/images/redA2.png,Alpha,Alpha,True,0.19130050006788224,11,False,4
11065,training_phase_1,2,2,17,materials/images/blueB3.png,Beta,Beta,True,0.018304100027307868,11,False,5
11065,training_phase_1,2,2,18,materials/images/blueB6.png,Beta,Beta,True,0.07921100000385195,11,False,6
11065,training_phase_1,2,2,19,materials/images/redA6.png,Alpha,Beta,False,0.5660667000338435,11,False,6
11065,training_phase_1,2,2,20,materials/images/blueB5.png,Beta,Beta,True,0.10452799999620765,11,False,7
11065,training_phase_1,2,2,21,materials/images/redA1.png,Alpha,Alpha,True,0.11078059999272227,11,False,8
11065,training_phase_1,2,2,22,materials/images/redA4.png,Alpha,Alpha,True,0.2323834999697283,11,False,9
11065,training_phase_1,2,2,23,materials/images/blueB4.png,Beta,Alpha,False,0.3036588999675587,11,False,9
11065,training_phase_1,2,2,24,materials/images/blueB2.png,Beta,Beta,True,1.134268100024201,11,False,10
11065,training_phase_1,2,3,25,materials/images/blueB1.png,Beta,Beta,True,0.9396518999710679,11,False,1
11065,training_phase_1,2,3,26,materials/images/blueB3.png,Beta,Beta,True,0.23237240000162274,11,False,2
11065,training_phase_1,2,3,27,materials/images/blueB2.png,Beta,Beta,True,0.05885619996115565,11,False,3
11065,training_phase_1,2,3,28,materials/images/redA4.png,Alpha,Alpha,True,0.023364299908280373,11,False,4
11065,training_phase_1,2,3,29,materials/images/redA2.png,Alpha,Alpha,True,0.20806650002487004,11,False,5
11065,training_phase_1,2,3,30,materials/images/redA6.png,Alpha,Beta,False,0.03897069999948144,11,False,5
11065,training_phase_1,2,3,31,materials/images/redA5.png,Alpha,Alpha,True,0.9373924999963492,11,False,6
11065,training_phase_1,2,3,32,materials/images/blueB5.png,Beta,Beta,True,0.20925119996536523,11,False,7
11065,training_phase_1,2,3,33,materials/images/blueB6.png,Beta,Beta,True,0.3156258000526577,11,False,8
11065,training_phase_1,2,3,34,materials/images/blueB4.png,Beta,Alpha,False,1.018697699997574,11,False,8
11065,training_phase_1,2,3,35,materials/images/redA3.png,Alpha,Alpha,True,0.07230879995040596,11,False,9
11065,training_phase_1,2,3,36,materials/images/redA1.png,Alpha,Alpha,True,0.12226619990542531,11,False,10
11065,training_phase_1,2,4,37,materials/images/blueB6.png,Beta,Beta,True,0.0186225000070408,11,False,1
11065,training_phase_1,2,4,38,materials/images/redA1.png,Alpha,Alpha,True,0.0654115000506863,11,False,2
11065,training_phase_1,2,4,39,materials/images/blueB5.png,Beta,Beta,True,0.018307300051674247,11,False,3
11065,training_phase_1,2,4,40,materials/images/redA2.png,Alpha,Alpha,True,0.6105557000264525,11,False,4
11065,training_phase_1,2,4,41,materials/images/redA4.png,Alpha,Beta,False,0.20343059999868274,11,False,4
11065,training_phase_1,2,4,42,materials/images/blueB1.png,Beta,Beta,True,0.4716832999838516,11,False,5
11065,training_phase_1,2,4,43,materials/images/blueB2.png,Beta,Beta,True,0.6523072000127286,11,False,6
11065,training_phase_1,2,4,44,materials/images/redA5.png,Alpha,Alpha,True,0.28679969999939203,11,False,7
11065,training_phase_1,2,4,45,materials/images/blueB4.png,Beta,Beta,True,0.29140350001398474,11,False,8
11065,training_phase_1,2,4,46,materials/images/redA6.png,Alpha,Alpha,True,0.06171269994229078,11,False,9
11065,training_phase_1,2,4,47,materials/images/blueB3.png,Beta,Beta,True,0.018426100024953485,11,False,10
11065,training_phase_1,2,4,48,materials/images/redA3.png,Alpha,Alpha,True,1.1784043000079691,11,True,11
pnum,phase_id,condition,block_data,trial_num,stim,correct_category,response,hit,rt,criterian,met_criterian,num_correct_in_block
11065,test_phase,2,1,1,materials/images/yGen2.png,test,Alpha,gen,3.657827299903147,1,True,1
11065,test_phase,2,1,2,materials/images/blueB5.png,Beta,Beta,gen,1.2935374999651685,1,True,2
11065,test_phase,2,1,3,materials/images/yGen5.png,test,Beta,gen,0.023564500035718083,1,True,3
11065,test_phase,2,1,4,materials/images/blueB2.png,Beta,Beta,gen,1.2531238999217749,1,True,4
11065,test_phase,2,1,5,materials/images/redA3.png,Alpha,Alpha,gen,0.22184170002583414,1,True,5
11065,test_phase,2,1,6,materials/images/yGen4.png,test,Beta,gen,1.6392099999357015,1,True,6
11065,test_phase,2,1,7,materials/images/redA2.png,Alpha,Alpha,gen,0.11644959996920079,1,True,7
11065,test_phase,2,1,8,materials/images/redA5.png,Alpha,Alpha,gen,0.10723159997723997,1,True,8
11065,test_phase,2,1,9,materials/images/blueB6.png,Beta,Beta,gen,1.7870947999181226,1,True,9
11065,test_phase,2,1,10,materials/images/blueB1.png,Beta,Beta,gen,0.35694700002204627,1,True,10
11065,test_phase,2,1,11,materials/images/yGen1.png,test,Alpha,gen,0.12005040002986789,1,True,11
11065,test_phase,2,1,12,materials/images/redA1.png,Alpha,Alpha,gen,0.8188066000584513,1,True,12
11065,test_phase,2,1,13,materials/images/yGen3.png,test,Beta,gen,0.023329999996349216,1,True,13
11065,test_phase,2,1,14,materials/images/redA4.png,Alpha,Alpha,gen,0.18285360001027584,1,True,14
11065,test_phase,2,1,15,materials/images/blueB4.png,Beta,Alpha,gen,1.766916700056754,1,True,15
11065,test_phase,2,1,16,materials/images/redA6.png,Alpha,Alpha,gen,0.7547651999630034,1,True,16
11065,test_phase,2,1,17,materials/images/blueB3.png,Beta,Beta,gen,0.32428599998820573,1,True,17
pnum,phase_id,condition,block_data,trial_num,stim,correct_category,response,hit,rt,criterian,met_criterian,num_correct_in_block
11065,training_phase_2,2,1,1,materials/images/blackG1.png,Gamma,Alpha,False,4.138310499954969,30,False,0
11065,training_phase_2,2,1,2,materials/images/greenD5.png,Delta,Beta,False,0.02354870003182441,30,False,0
11065,training_phase_2,2,1,3,materials/images/greenD4.png,Delta,Delta,True,0.12129630008712411,30,False,1
11065,training_phase_2,2,1,4,materials/images/blackG5.png,Gamma,Alpha,False,0.13161510007921606,30,False,1
11065,training_phase_2,2,1,5,materials/images/greenD1.png,Delta,Delta,True,0.17948109994176775,30,False,2
11065,training_phase_2,2,1,6,materials/images/blueB3.png,Beta,Delta,False,0.01937980006914586,30,False,2
11065,training_phase_2,2,1,7,materials/images/redA5.png,Alpha,Beta,False,0.6862472000066191,30,False,2
11065,training_phase_2,2,1,8,materials/images/redA4.png,Alpha,Alpha,True,0.18361369997728616,30,False,3
11065,training_phase_2,2,1,9,materials/images/blackG2.png,Gamma,Gamma,True,0.3625314999371767,30,False,4
