pnum,phase_id,condition,block_data,trial_num,stim,correct_category,response,hit,rt,criterian,met_criterian,num_correct_in_block
11075,training_phase_1,2,1,1,materials/images/blueB3.png,Beta,Alpha,False,5.07394320005551,11,False,0
11075,training_phase_1,2,1,2,materials/images/blueB5.png,Beta,Alpha,False,2.8848685000557452,11,False,0
11075,training_phase_1,2,1,3,materials/images/redA2.png,Alpha,Beta,False,1.2312933998182416,11,False,0
11075,training_phase_1,2,1,4,materials/images/blueB1.png,Beta,Beta,True,1.6767043999861926,11,False,1
11075,training_phase_1,2,1,5,materials/images/redA4.png,Alpha,Alpha,True,1.5891294998582453,11,False,2
11075,training_phase_1,2,1,6,materials/images/blueB4.png,Beta,Alpha,False,0.024030499858781695,11,False,2
11075,training_phase_1,2,1,7,materials/images/redA5.png,Alpha,Beta,False,1.612740600015968,11,False,2
11075,training_phase_1,2,1,8,materials/images/blueB6.png,Beta,Alpha,False,0.8909730999730527,11,False,2
11075,training_phase_1,2,1,9,materials/images/redA1.png,Alpha,Beta,False,0.8349232999607921,11,False,2
11075,training_phase_1,2,1,10,materials/images/redA3.png,Alpha,Beta,False,0.5978859001770616,11,False,2
11075,training_phase_1,2,1,11,materials/images/blueB2.png,Beta,Beta,True,0.16883410001173615,11,False,3
11075,training_phase_1,2,1,12,materials/images/redA6.png,Alpha,Alpha,True,0.3977494998835027,11,False,4
11075,training_phase_1,2,2,13,materials/images/redA1.png,Alpha,Alpha,True,1.8777516998816282,11,False,1
11075,training_phase_1,2,2,14,materials/images/blueB6.png,Beta,Beta,True,0.2409965000115335,11,False,2
11075,training_phase_1,2,2,15,materials/images/blueB1.png,Beta,Alpha,False,1.0519306999631226,11,False,2
11075,training_phase_1,2,2,16,materials/images/blueB5.png,Beta,Alpha,False,0.8178569001611322,11,False,2
11075,training_phase_1,2,2,17,materials/images/redA6.png,Alpha,Beta,False,0.9454673000145704,11,False,2
11075,training_phase_1,2,2,18,materials/images/blueB4.png,Beta,Alpha,False,1.5956404998432845,11,False,2
11075,training_phase_1,2,2,19,materials/images/redA4.png,Alpha,Beta,False,0.6529115000739694,11,False,2
11075,training_phase_1,2,2,20,materials/images/blueB2.png,Beta,Alpha,False,0.6856585000641644,11,False,2
11075,training_phase_1,2,2,21,materials/images/redA5.png,Alpha,Alpha,True,0.34386230004020035,11,False,3
11075,training_phase_1,2,2,22,materials/images/redA3.png,Alpha,Beta,False,0.3229636000469327,11,False,3
11075,training_phase_1,2,2,23,materials/images/redA2.png,Alpha,Alpha,True,0.6879594000056386,11,False,4
11075,training_phase_1,2,2,24,materials/images/blueB3.png,Beta,Beta,True,0.14219689997844398,11,False,5
11075,training_phase_1,2,3,25,materials/images/redA3.png,Alpha,Alpha,True,0.2802759001497179,11,False,1
11075,training_phase_1,2,3,26,materials/images/blueB6.png,Beta,Beta,True,0.5557351000607014,11,False,2
11075,training_phase_1,2,3,27,materials/images/redA4.png,Alpha,Alpha,True,0.37984319985844195,11,False,3
11075,training_phase_1,2,3,28,materials/images/redA5.png,Alpha,Beta,False,0.01876849983818829,11,False,3
11075,training_phase_1,2,3,29,materials/images/blueB4.png,Beta,Alpha,False,3.413448400096968,11,False,3
11075,training_phase_1,2,3,30,materials/images/blueB1.png,Beta,Beta,True,0.23499829997308552,11,False,4
11075,training_phase_1,2,3,31,materials/images/blueB2.png,Beta,Alpha,False,0.49991630017757416,11,False,4
11075,training_phase_1,2,3,32,materials/images/redA2.png,Alpha,Beta,False,0.2207752000540495,11,False,4
11075,training_phase_1,2,3,33,materials/images/blueB5.png,Beta,Beta,True,0.32397769996896386,11,False,5
11075,training_phase_1,2,3,34,materials/images/redA6.png,Alpha,Alpha,True,3.676925400039181,11,False,6
11075,training_phase_1,2,3,35,materials/images/redA1.png,Alpha,Alpha,True,0.018964099930599332,11,False,7
11075,training_phase_1,2,3,36,materials/images/blueB3.png,Beta,Beta,True,0.3208456998690963,11,False,8
11075,training_phase_1,2,4,37,materials/images/blueB1.png,Beta,Alpha,False,0.35025270003825426,11,False,0
11075,training_phase_1,2,4,38,materials/images/redA4.png,Alpha,Alpha,True,0.9066882999613881,11,False,1
11075,training_phase_1,2,4,39,materials/images/redA3.png,Alpha,Alpha,True,0.023785300087183714,11,False,2
11075,training_phase_1,2,4,40,materials/images/redA5.png,Alpha,Beta,False,0.5325893999543041,11,False,2
11075,training_phase_1,2,4,41,materials/images/redA2.png,Alpha,Alpha,True,0.07119689998216927,11,False,3
11075,training_phase_1,2,4,42,materials/images/blueB6.png,Beta,Beta,True,0.02403740002773702,11,False,4
11075,training_phase_1,2,4,43,materials/images/redA6.png,Alpha,Alpha,True,0.9238608998712152,11,False,5
11075,training_phase_1,2,4,44,materials/images/blueB2.png,Beta,Beta,True,1.127333699958399,11,False,6
11075,training_phase_1,2,4,45,materials/images/redA1.png,Alpha,Alpha,True,0.22995520010590553,11,False,7
11075,training_phase_1,2,4,46,materials/images/blueB4.png,Beta,Beta,True,0.01924139983020723,11,False,8
11075,training_phase_1,2,4,47,materials/images/blueB3.png,Beta,Beta,True,2.841475599911064,11,False,9
11075,training_phase_1,2,4,48,materials/images/blueB5.png,Beta,Alpha,False,0.018815699964761734,11,False,9
11075,training_phase_1,2,5,49,materials/images/blueB4.png,Beta,Alpha,False,0.6033588999416679,11,False,0
11075,training_phase_1,2,5,50,materials/images/blueB2.png,Beta,Beta,True,0.07667239988222718,11,False,1
11075,training_phase_1,2,5,51,materials/images/redA3.png,Alpha,Beta,False,0.01915239985100925,11,False,1
11075,training_phase_1,2,5,52,materials/images/blueB5.png,Beta,Beta,True,0.4044776000082493,11,False,2
11075,training_phase_1,2,5,53,materials/images/blueB1.png,Beta,Beta,True,3.5313011000398546,11,False,3
11075,training_phase_1,2,5,54,materials/images/blueB3.png,Beta,Alpha,False,1.0189457000233233,11,False,3
11075,training_phase_1,2,5,55,materials/images/redA6.png,Alpha,Beta,False,2.980566499987617,11,False,3
11075,training_phase_1,2,5,56,materials/images/redA2.png,Alpha,Alpha,True,1.1189945000223815,11,False,4
11075,training_phase_1,2,5,57,materials/images/redA1.png,Alpha,Alpha,True,0.027899800101295114,11,False,5
11075,training_phase_1,2,5,58,materials/images/redA5.png,Alpha,Beta,False,0.22814549994654953,11,False,5
11075,training_phase_1,2,5,59,materials/images/blueB6.png,Beta,Beta,True,0.36716159991919994,11,False,6
11075,training_phase_1,2,5,60,materials/images/redA4.png,Alpha,Alpha,True,0.019091099966317415,11,False,7
11075,training_phase_1,2,6,61,materials/images/blueB2.png,Beta,Beta,True,1.1240677000023425,11,False,1
11075,training_phase_1,2,6,62,materials/images/blueB4.png,Beta,Alpha,False,1.502462500007823,11,False,1
11075,training_phase_1,2,6,63,materials/images/redA3.png,Alpha,Alpha,True,0.8302208001259714,11,False,2
11075,training_phase_1,2,6,64,materials/images/blueB6.png,Beta,Beta,True,0.02257240004837513,11,False,3
11075,training_phase_1,2,6,65,materials/images/redA6.png,Alpha,Beta,False,1.87579600000754,11,False,3
11075,training_phase_1,2,6,66,materials/images/blueB5.png,Beta,Beta,True,0.20698289992287755,11,False,4
11075,training_phase_1,2,6,67,materials/images/redA1.png,Alpha,Alpha,True,0.2925981997977942,11,False,5
11075,training_phase_1,2,6,68,materials/images/blueB3.png,Beta,Beta,True,0.9097939000930637,11,False,6
11075,training_phase_1,2,6,69,materials/images/redA2.png,Alpha,Alpha,True,0.32989539997652173,11,False,7
11075,training_phase_1,2,6,70,materials/images/redA5.png,Alpha,Beta,False,0.12774729984812438,11,False,7
11075,training_phase_1,2,6,71,materials/images/redA4.png,Alpha,Alpha,True,0.018730100011453032,11,False,8
11075,training_phase_1,2,6,72,materials/images/blueB1.png,Beta,Beta,True,0.024597099982202053,11,False,9
11075,training_phase_1,2,7,73,materials/images/redA3.png,Alpha,Alpha,True,0.5400040000677109,11,False,1
11075,training_phase_1,2,7,74,materials/images/blueB2.png,Beta,Beta,True,0.2825540998019278,11,False,2
11075,training_phase_1,2,7,75,materials/images/redA1.png,Alpha,Alpha,True,0.018735800171270967,11,False,3
11075,training_phase_1,2,7,76,materials/images/redA6.png,Alpha,Beta,False,0.4093816000968218,11,False,3
11075,training_phase_1,2,7,77,materials/images/redA4.png,Alpha,Alpha,True,0.01898530009202659,11,False,4
11075,training_phase_1,2,7,78,materials/images/redA5.png,Alpha,Alpha,True,0.023518800036981702,11,False,5
11075,training_phase_1,2,7,79,materials/images/blueB4.png,Beta,Beta,True,0.5797578999772668,11,False,6
11075,training_phase_1,2,7,80,materials/images/redA2.png,Alpha,Alpha,True,0.15533209987916052,11,False,7
11075,training_phase_1,2,7,81,materials/images/blueB5.png,Beta,Beta,True,0.01944050006568432,11,False,8
11075,training_phase_1,2,7,82,materials/images/blueB3.png,Beta,Beta,True,2.1573420998174697,11,False,9
11075,training_phase_1,2,7,83,materials/images/blueB1.png,Beta,Alpha,False,0.4312437998596579,11,False,9
11075,training_phase_1,2,7,84,materials/images/blueB6.png,Beta,Beta,True,0.07814050000160933,11,False,10
11075,training_phase_1,2,8,85,materials/images/redA2.png,Alpha,Alpha,True,0.02381629985757172,11,False,1
11075,training_phase_1,2,8,86,materials/images/redA4.png,Alpha,Beta,False,0.3396495000924915,11,False,1
11075,training_phase_1,2,8,87,materials/images/redA6.png,Alpha,Alpha,True,0.023336200043559074,11,False,2
11075,training_phase_1,2,8,88,materials/images/redA3.png,Alpha,Alpha,True,0.2778286000248045,11,False,3
