pnum,phase_id,condition,block_data,trial_num,stim,correct_category,response,hit,rt,criterian,met_criterian,num_correct_in_block
11080,training_phase_1,1,1,1,materials/images/blueB1.png,Beta,Alpha,False,2.6352444000076503,11,False,0
11080,training_phase_1,1,1,2,materials/images/redA5.png,Alpha,Beta,False,1.1372136001009494,11,False,0
11080,training_phase_1,1,1,3,materials/images/redA4.png,Alpha,Alpha,True,0.5196597001049668,11,False,1
11080,training_phase_1,1,1,4,materials/images/redA3.png,Alpha,Alpha,True,0.022912000073119998,11,False,2
11080,training_phase_1,1,1,5,materials/images/redA2.png,Alpha,Alpha,True,0.1775484997779131,11,False,3
11080,training_phase_1,1,1,6,materials/images/blueB2.png,Beta,Beta,True,1.6329905001912266,11,False,4
11080,training_phase_1,1,1,7,materials/images/blueB5.png,Beta,Alpha,False,1.945427999831736,11,False,4
11080,training_phase_1,1,1,8,materials/images/blueB3.png,Beta,Alpha,False,1.073034199886024,11,False,4
11080,training_phase_1,1,1,9,materials/images/redA1.png,Alpha,Alpha,True,0.44232460018247366,11,False,5
11080,training_phase_1,1,1,10,materials/images/blueB4.png,Beta,Beta,True,0.4618270001374185,11,False,6
11080,training_phase_1,1,1,11,materials/images/redA6.png,Alpha,Beta,False,0.3919259998947382,11,False,6
11080,training_phase_1,1,1,12,materials/images/blueB6.png,Beta,Beta,True,0.14794629998505116,11,False,7
11080,training_phase_1,1,2,13,materials/images/redA2.png,Alpha,Alpha,True,2.9803174999542534,11,False,1
11080,training_phase_1,1,2,14,materials/images/redA1.png,Alpha,Alpha,True,0.28612979990430176,11,False,2
11080,training_phase_1,1,2,15,materials/images/redA6.png,Alpha,Alpha,True,0.6411375999450684,11,False,3
11080,training_phase_1,1,2,16,materials/images/redA5.png,Alpha,Alpha,True,0.2896701998542994,11,False,4
11080,training_phase_1,1,2,17,materials/images/blueB2.png,Beta,Beta,True,0.7132569998502731,11,False,5
11080,training_phase_1,1,2,18,materials/images/blueB1.png,Beta,Alpha,False,0.30083120008930564,11,False,5
11080,training_phase_1,1,2,19,materials/images/blueB3.png,Beta,Beta,True,0.3356916999910027,11,False,6
11080,training_phase_1,1,2,20,materials/images/blueB4.png,Beta,Beta,True,1.9395351000130177,11,False,7
11080,training_phase_1,1,2,21,materials/images/blueB5.png,Beta,Alpha,False,1.060673300176859,11,False,7
11080,training_phase_1,1,2,22,materials/images/blueB6.png,Beta,Alpha,False,0.763085899874568,11,False,7
11080,training_phase_1,1,2,23,materials/images/redA3.png,Alpha,Beta,False,0.2206567998509854,11,False,7
11080,training_phase_1,1,2,24,materials/images/redA4.png,Alpha,Beta,False,0.16370159992948174,11,False,7
11080,training_phase_1,1,3,25,materials/images/blueB6.png,Beta,Beta,True,0.697858499828726,11,False,1
11080,training_phase_1,1,3,26,materials/images/redA5.png,Alpha,Alpha,True,7.240516199963167,11,False,2
